Zones,1,4,7,9,12,14,16,19
1,0,0.79242,1.7,2.06546,1.80029,2.99724,2.162,2.80387
4,0.755065,0,0.907584,2.12039,2.55536,3.05216,2.21693,2.62186
7,1.57002,0.814956,0,1.73707,3.36926,3.62515,2.80239,1.71428
9,1.59281,1.21972,1.7683,0,1.63219,1.88808,1.06531,3.47693
12,1.80192,2.59434,3.50192,1.73664,0,1.6,1.82259,4.60579
14,2.8446,3.18345,3.97822,2.20991,1.60003,0,1.18861,3.18342
16,1.82527,2.16411,2.7896,1.0213,1.80767,0.958122,0,3.18884
19,2.8,2.11503,1.30008,2.5375,3.51583,1.9158,2.29343,0
